,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
18,Juan Cruz,"€ 11,923","€ 620,000",LB,28,Reserve,"Jun 30, 2023",3-yrs,"€ 1,860,000",Osasuna,La Liga,2020-2021
19,Aridane Hernández,"€ 11,731","€ 610,000",CB,31,Reserve,"Jun 30, 2023",3-yrs,"€ 1,830,000",Osasuna,La Liga,2020-2021
20,Jon Moncayola,"€ 9,615","€ 500,000",CM,22,Starter,"Jun 30, 2031",11-yrs,"€ 5,500,000",Osasuna,La Liga,2020-2021
21,Kike Barja,"€ 8,846","€ 460,000",RW,23,Reserve,"Jun 30, 2023",3-yrs,"€ 1,380,000",Osasuna,La Liga,2020-2021
22,Lucas Torró,"€ 8,654","€ 450,000",DM,26,Reserve,"Jun 30, 2024",4-yrs,"€ 1,800,000",Osasuna,La Liga,2020-2021
23,Oier,"€ 6,538","€ 340,000",DM,34,Starter,"Jun 30, 2022",2-yrs,"€ 680,000",Osasuna,La Liga,2020-2021
24,Iñigo Pérez,"€ 5,962","€ 310,000",CM,33,Starter,"Jun 30, 2022",2-yrs,"€ 620,000",Osasuna,La Liga,2020-2021
0,Nabil Fekir,"€ 132,692","€ 6,900,000",AM,27,Starter,"Jun 30, 2023",3-yrs,"€ 20,700,000",Real Betis,La Liga,2020-2021
1,William Carvalho,"€ 66,923","€ 3,480,000",DM,28,Reserve,"Jun 30, 2023",3-yrs,"€ 10,440,000",Real Betis,La Liga,2020-2021
2,Marc Bartra,"€ 51,923","€ 2,700,000",CB,30,Reserve,"Jun 30, 2023",3-yrs,"€ 8,100,000",Real Betis,La Liga,2020-2021
3,Guido Rodríguez,"€ 51,538","€ 2,680,000",DM,26,Reserve,"Jun 30, 2024",4-yrs,"€ 10,720,000",Real Betis,La Liga,2020-2021
4,Martín Montoya,"€ 38,269","€ 1,990,000",RB,29,Reserve,"Jun 30, 2024",4-yrs,"€ 7,960,000",Real Betis,La Liga,2020-2021
5,Andrés Guardado,"€ 36,731","€ 1,910,000",CM,34,Starter,"Jun 30, 2022",2-yrs,"€ 3,820,000",Real Betis,La Liga,2020-2021
6,Claudio Bravo,"€ 30,769","€ 1,600,000",GK,37,Reserve,"Jun 30, 2022",2-yrs,"€ 3,200,000",Real Betis,La Liga,2020-2021
7,Joaquín,"€ 27,692","€ 1,440,000",RW,39,Reserve,"Jun 30, 2022",2-yrs,"€ 2,880,000",Real Betis,La Liga,2020-2021
