Rank,Club,Country,Domestic Division,Elo,Year,Season
80,Depor,ESP,2,1618.69519043,2018,2018/2019
None,Depor,ESP,2,1478.44445801,2019,2019/2020
None,Depor,ESP,2,1516.97521973,2020,2020/2021
59,Eibar,ESP,1,1666.40490723,2015,2015/2016
63,Eibar,ESP,1,1671.40515137,2016,2016/2017
40,Eibar,ESP,1,1700.8380127,2017,2017/2018
38,Eibar,ESP,1,1712.62109375,2018,2018/2019
52,Eibar,ESP,1,1682.14746094,2019,2019/2020
64,Eibar,ESP,1,1666.95751953,2020,2020/2021
98,Eibar,ESP,2,1598.88452148,2021,2021/2022
97,Elche,ESP,2,1607.49597168,2015,2015/2016
None,Elche,ESP,2,1565.64538574,2016,2016/2017
None,Elche,ESP,2,1468.67602539,2017,2017/2018
None,Elche,ESP,2,1475.79516602,2018,2018/2019
None,Elche,ESP,2,1531.90905762,2019,2019/2020
None,Elche,ESP,1,1584.73571777,2020,2020/2021
100,Elche,ESP,1,1597.49816895,2021,2021/2022
46,Espanyol,ESP,1,1693.01708984,2015,2015/2016
40,Espanyol,ESP,1,1702.86022949,2016,2016/2017
43,Espanyol,ESP,1,1690.9095459,2017,2017/2018
43,Espanyol,ESP,1,1700.9744873,2018,2018/2019
75,Espanyol,ESP,1,1641.22143555,2019,2019/2020
69,Espanyol,ESP,2,1652.69702148,2020,2020/2021
73,Espanyol,ESP,1,1644.3770752,2021,2021/2022
None,Extremadura,ESP,2,1457.38037109,2018,2018/2019
None,Extremadura,ESP,2,1464.46875,2019,2019/2020
None,Extremadura,ESP,2,1459.7220459,2020,2020/2021
None,Fuenlabrada,ESP,2,1503.20227051,2019,2019/2020
None,Fuenlabrada,ESP,2,1511.86437988,2020,2020/2021
None,Fuenlabrada,ESP,2,1517.81958008,2021,2021/2022
65,Getafe,ESP,1,1651.08862305,2015,2015/2016
85,Getafe,ESP,2,1626.28466797,2016,2016/2017
51,Getafe,ESP,1,1675.10693359,2017,2017/2018
25,Getafe,ESP,1,1740.74694824,2018,2018/2019
24,Getafe,ESP,1,1781.13439941,2019,2019/2020
45,Getafe,ESP,1,1704.87683105,2020,2020/2021
69,Getafe,ESP,1,1653.17993164,2021,2021/2022
67,Gijon,ESP,1,1648.39172363,2015,2015/2016
83,Gijon,ESP,1,1631.71264648,2016,2016/2017
None,Gijon,ESP,2,1565.70629883,2017,2017/2018
None,Gijon,ESP,2,1569.20654297,2018,2018/2019
None,Gijon,ESP,2,1512.54907227,2019,2019/2020
None,Gijon,ESP,2,1536.89111328,2020,2020/2021
None,Gijon,ESP,2,1549.10717773,2021,2021/2022
None,Girona,ESP,2,1579.57592773,2015,2015/2016
79,Girona,ESP,2,1639.46740723,2016,2016/2017
64,Girona,ESP,1,1638.49377441,2017,2017/2018
49,Girona,ESP,1,1686.61083984,2018,2018/2019
None,Girona,ESP,2,1574.43969727,2019,2019/2020
